"id_reservation","id_listing","id_guest","id_traveler","id_host","dim_cancellation_reason","ts_cancelled","ds"
"1EAA0AA1","3672DC","951163C","951163C","11128BE","unknown","1509044105",2017-10-26
"2E904848","11277FA","6005B18","6005B18","75D96F7","extenuating_circumstance","1527599961",2018-05-29
"1E2A4CF9","12B9885","C2C23","C2C23","11FF59F","extenuating_circumstance","1513022956",2017-12-11
"1CAC2367","C13BDE","90C07A4","90C07A4","3A859E","extenuating_circumstance","1506445408",2017-09-26
"3A4B4FF3","C58A69","1BFD4","1BFD4","1EB103","other","1538970708",2018-10-08
"1A33CCA5","A5C83D","100A7DA","100A7DA","34A6BA8","not_available","1503682775",2017-08-25
"1072C8C4","E6568A","37E9D4F","37E9D4F","5857CF5","accommodations_unnecessary","1489370097",2017-03-13
"391D9FAC","16A3544","44F61EC","44F61EC","A9BE72E","host_courtesy","1543302313",2018-11-27
"22807BE0","155EA41","8D0028C","8D0028C","8732CB2","unknown","1514772981",2018-01-01
"20D342CF","1472813","5C8E5F8","5C8E5F8","93A08C2","accommodations_unnecessary","1515144864",2018-01-05
"1BEE3BA9","FD5FD0","8E9D2C6","8E9D2C6","687DB9D","accommodations_unnecessary","1507652773",2017-10-10
"2CD928F6","15774EB","5149B79","5149B79","960A265","tns","1528169449",2018-06-05
"1F40F9A6","C6C2EA","3BB1B9B","3BB1B9B","449D9D6","accommodations_unnecessary","1520431231",2018-03-07
"26502CBC","15760D4","35D6F6","35D6F6","9715604","new_30day_host","1518893222",2018-02-17
"11A97BF2","109CE52","618CD49","618CD49","6D35E3C","other","1490663657",2017-03-28
"190FF5E5","EBB104","18D4EFC","18D4EFC","1185589","other","1502359089",2017-08-10
"1CDE047B","14182CA","3990DB","3990DB","7D0F629","unknown","1506511118",2017-09-27
"2AD6C0AC","158F97C","168C5B6","168C5B6","9EA4C4C","other","1523429385",2018-04-11
"EBE1B58","EBC90F","33FA3A8","33FA3A8","5DCFB2E","other","1492553719",2017-04-18
"233A554F","33054A","16C6B5A","16C6B5A","D3766E","accommodations_unnecessary","1517071056",2018-01-27
"375D2154","1916416","844064A","844064A","BCA344E","accommodations_unnecessary","1535986553",2018-09-03
"2F1F4E15","16A7A1D","1616EE4","1616EE4","A9EB192","not_available","1528005785",2018-06-03
"338BD591","16E3FF0","3F8D482","3F8D482","948FC72","extenuating_circumstance","1532435720",2018-07-24
"382DD91D","1151062","D4D506","D4D506","51E7C4F","accommodations_unnecessary","1536755888",2018-09-12
"F6F0BE6","4A88B","27D4D04","27D4D04","17F6E1","unknown","1485792202",2017-01-30
"325FFFE6","18BD7DF","86A7AD3","86A7AD3","2B85F5F","accommodations_unnecessary","1531496518",2018-07-13
"10D865E9","1047706","1D10C12","1D10C12","3D8FA","unknown","1488273599",2017-02-28
"3DE28F53","D6AC8A","D40AF85","D40AF85","509357E","accommodations_unnecessary","1543059285",2018-11-24
"2831C238","9015C2","413109E","413109E","2869689","host_courtesy","1524235883",2018-04-20
"3058BC9F","18D7D06","B66B873","B66B873","BAAC52A","other","1529275868",2018-06-17
"34B3968E","6D1BBC","11F9A09","11F9A09","23B66A1","accommodations_unnecessary","1536545774",2018-09-10
"3C009C36","12982A9","534F620","534F620","828C61D","accommodations_unnecessary","1542106276",2018-11-13
"119AAB77","A68610","2A7DF55","2A7DF55","35F27C1","other","1492185869",2017-04-14
"200133A1","6D14B1","2E60C9","2E60C9","23A39A3","other","1510964977",2017-11-18
"10324C62","1052179","14094CD","14094CD","6BD7A26","needs_maintenance","1486408996",2017-02-06
"2449E2D9","1138361","D1ABBE","D1ABBE","2E0791F","needs_maintenance","1516624346",2018-01-22
"219F1528","1058ABF","225E60","225E60","6DE4DE0","unknown","1513891950",2017-12-21
"34C19971","19F7472","B13B79","B13B79","940F39C","accommodations_unnecessary","1533408001",2018-08-04
"13CB4D7D","F0E336","13F786","13F786","1150131","other","1504821710",2017-09-07
"368E1B93","1653FC","2EC4BC2","2EC4BC2","77A5C4","other","1535388284",2018-08-27
"382ED73F","11BF926","1443ED1","1443ED1","45B24C9","unknown","1536843378",2018-09-13
"1432FE79","EDC612","7DCD20B","7DCD20B","5B73C26","other","1495923769",2017-05-27
"3B07BF1E","1A5B250","763743","763743","3204FA5","unknown","1539744324",2018-10-17
"22CFC275","D386F9","2200889","2200889","49568DA","accommodations_unnecessary","1515156952",2018-01-05
"1ADA286A","F18314","790170E","790170E","61BB6BE","other","1504037398",2017-08-29
"33989815","523E57","69F129C","69F129C","BD4243","host_change","1532373304",2018-07-23
"231567DC","158F68F","1188F56","1188F56","9EA4124","unknown","1515394581",2018-01-08
"303DAB9B","13EBAEB","8617AF5","8617AF5","16E48BC","other","1529341444",2018-06-18
"24D70CB6","11EF2FD","2A1FE49","2A1FE49","4140313","other","1518300133",2018-02-10
"21F8F5D2","C061F","96B4991","96B4991","3F5FEB","other","1513918018",2017-12-22
"1B113876","DC8033","1D3D931","1D3D931","1E53C","unknown","1504305553",2017-09-01
"164FB469","D6B341","370698F","370698F","2F4E702","accommodations_unnecessary","1502782001",2017-08-15
"21430FAA","DF484","5A222A3","5A222A3","4AE6B9","accommodations_unnecessary","1515171635",2018-01-05
"12BBBE4B","1167947","824929","824929","EC1EBE","accommodations_unnecessary","1493948749",2017-05-05
"1EE9E7AF","37DFD","2A5137F","2A5137F","D4278","accommodations_unnecessary","1516016839",2018-01-15
"E1340CC","ED0917","48D9E88","48D9E88","8DCCF","uncomfortable_with_host","1484534668",2017-01-16
"1F5CE3A4","D05F1A","10AE513","10AE513","4036B9D","extenuating_circumstance","1510165332",2017-11-08
"2BB98731","1105065","14D33F3","14D33F3","2DD803C","other","1532168625",2018-07-21
"2183DA63","DEAC24","2657FF4","2657FF4","5650B83","unknown","1513303030",2017-12-15
"2D3E4F6C","94D10A","742944E","742944E","2FF8D09","other","1525839235",2018-05-09
"1C1EAB88","1381F7B","5B87DA7","5B87DA7","8B4062B","guest_asked_to_cancel","1509033069",2017-10-26
"2BBBAB04","149F8E0","3053A90","3053A90","8EBB73","dislike_accomodations","1524352703",2018-04-21
"2EF44834","1822BA9","6E67727","6E67727","B64D7BB","accommodations_unnecessary","1529312318",2018-06-18
